particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
e,particle,,,,,,,,,,,,,
,max,1.005,0.99577371714,5456,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5,,,
,mean,1.00000000000(31),0.99577371714,1,,,,,,,,,,
,min,0.995,0.99577371714,5456,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5,,,
,delta,,,1,,,,,,,,5561,0.01798,∆ abs(i)
u,particle,,,,,,,,,,,,,
,max,5.14,5.13,3205,0.0,0.0,0.0,-1.5,2.0,-1.5,1.0,,,
,mean,4.18(-0.51)(0.96),4.4,-144,,,,,,,,,,
,min,3.67,3.67,3350,0.0,0.0,0.0,-1.5,3.0,0.0,1.0,,,
,delta,,,144,,,,,,,,5561,2.58946,∆ abs(i)
,total,,,144,,,,,,,,5561,2.58946,Σ ∆i
d,particle,,,,,,,,,,,,,
,max,10.0,10.0,3537,0.0,0.0,0.0,-1.0,-2.0,-0.5,-0.5,,,
,mean,9.14(-0.33)(0.94),9.44,-833,,,,,,,,,,
,min,8.81,8.81,4371,0.0,0.0,0.0,-0.5,-2.0,-1.5,-1.0,,,
,delta,,,833,,,,,,,,5561,14.97932,∆ abs(i)
,total,,,833,,,,,,,,5561,14.97932,Σ ∆i
s,mean,182.8(-6.6)(16.8),,,,,,,,,,,,only with i4 > 1
Muon,mean,206.7682827(46),,,,,,,,,,,,only with i4 > 1
Pion π$^0$,mean,264.1430(9),,,,,,,,,,,,only with i4 > 1
Pion π$^{+-}$,mean,273.13243(35),,,,,,,,,,,,only with i4 > 1
K$^{+-}$,mean,966.102(21),,,,,,,,,,,,only with i4 > 1
KL$^0$,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
KS$^0$,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
Eta η,mean,1072.139(35),,,,,,,,,,,,only with i4 > 1
Rho ρ$^{+-}$,mean,1506(1),,,,,,,,,,,,only with i4 > 1
Rho ρ$^0$,mean,1517.14(49),,,,,,,,,,,,only with i4 > 1
Omega ω,mean,1531.62(25),,,,,,,,,,,,only with i4 > 1
K*$^{+-}$,mean,1745.2(1),,,,,,,,,,,,only with i4 > 1
K*$^0$,mean,1752.6(1),,,,,,,,,,,,only with i4 > 1
Proton,mean,1836.152673426(32),,,,,,,,,,,,only with i4 > 1
H,mean,1837.47(-0.29)(0.20),,,,,,,,,,,,only with i4 > 1
Neutron,mean,1838.68366200(74),,,,,,,,,,,,only with i4 > 1
Eta η`,mean,1874.32(11),,,,,,,,,,,,only with i4 > 1
Phi ,mean,1995.035(31),,,,,,,,,,,,only with i4 > 1
c,mean,2485(-39)(39),,,,,,,,,,,,only with i4 > 1
Tau,mean,3477.23(23),,,,,,,,,,,,only with i4 > 1
D$^0$,mean,3649.38(10),,,,,,,,,,,,only with i4 > 1
D$^+$,mean,3658.81(10),,,,,,,,,,,,only with i4 > 1
Deuteron,mean,3670.48296788(13),,,,,,,,,,,,only with i4 > 1
DS$^+$,mean,3851.94(13),,,,,,,,,,,,only with i4 > 1
Triton,mean,5496.92153573(27),,,,,,,,,,,,only with i4 > 1
